serial,sighting_count,latest_date,latest_location,image_url
E58532326G,1,2013-03-29T00:00:00+00:00,"Ithaca, NY",
H02618216A,1,2013-03-17T00:00:00+00:00,"Amsterdam, New York",
B19303368C,1,2013-02-04T00:00:00+00:00,"Ithaca, NY",http://s3.amazonaws.com/bonerbucks-s3-assets/images/70/large.JPG
B06697298G,1,2013-01-14T00:00:00+00:00,"Ithaca, NY",http://s3.amazonaws.com/bonerbucks-s3-assets/images/49/large.jpg
K04921704H,1,2013-01-02T00:00:00+00:00,"Berkeley, CA",
F79431101Q,1,2012-12-31T00:00:00+00:00,"Arcata, CA",
L06042271Q,1,2012-12-23T00:00:00+00:00,"Chicago, IL",
B77588194C,4,2012-12-07T00:00:00+00:00,"Beaumont, TX",
D95390678B,1,2012-12-06T00:00:00+00:00,"Ithaca, NY",http://s3.amazonaws.com/bonerbucks-s3-assets/images/42/large.jpg
B38616521C,1,2012-12-01T00:00:00+00:00,"Mexico, NY",
G16607672B,1,2012-11-27T00:00:00+00:00,"Ithaca, NY",http://s3.amazonaws.com/bonerbucks-s3-assets/images/40/large.JPG
L65588563M,1,2012-11-04T00:00:00+00:00,"Portland, OR",
E84776116E,1,2012-11-02T00:00:00+00:00,"Ithaca, NY",http://s3.amazonaws.com/bonerbucks-s3-assets/images/36/large.JPG
B24438700C,1,2012-10-20T00:00:00+00:00,"Portland, OR",
H65425265D,1,2012-10-20T00:00:00+00:00,"Portland, OR",
K44884612B,2,2012-10-20T00:00:00+00:00,"Ithaca, NY",http://s3.amazonaws.com/bonerbucks-s3-assets/images/33/large.jpg
L79942399I,1,2012-10-19T00:00:00+00:00,"Ithaca, NY",
D12917286D,1,2012-09-24T00:00:00+00:00,"Ithaca, NY",
B87210809C,1,2012-09-21T00:00:00+00:00,"Ithaca, NY",
E31625435D,1,2012-09-16T00:00:00+00:00,"Ithaca, NY",
A64486618E,1,2012-09-11T00:00:00+00:00,"Ithaca, NY",
B94946423D,1,2012-09-11T00:00:00+00:00,"Ithaca, NY",
D56390586G,1,2012-09-11T00:00:00+00:00,"Ithaca, NY",
A35166834E,1,2012-09-01T00:00:00+00:00,"Black Rock City, NV",http://s3.amazonaws.com/bonerbucks-s3-assets/images/19/large.png
E32533628G,1,2012-08-21T00:00:00+00:00,"Ithaca, NY",
L05316358D,1,2012-08-21T00:00:00+00:00,"Ithaca, NY",
E16315919D,1,2012-08-15T00:00:00+00:00,"Ithaca, NY",
D78042239C,1,2012-08-12T00:00:00+00:00,"Ithaca, NY",
G18524185A,1,2012-08-07T00:00:00+00:00,"Ithaca, NY",
F46158070M,1,2012-08-03T00:00:00+00:00,"Ithaca, NY",
B12010241B,1,2012-07-31T00:00:00+00:00,"Ithaca, NY",
L25449405A,1,2012-07-23T00:00:00+00:00,"Ithaca, NY",
B07896018E,1,2012-07-21T00:00:00+00:00,"Ithaca, NY",
K07527923F,1,2012-07-17T00:00:00+00:00,"Ithaca, NY",
K03851408D,1,2012-07-16T00:00:00+00:00,"Ithaca, NY",
